Accelerometerx,Accelerometery,Accelerometerz,Gyroscopex,Gyroscopey,Gyroscopez,Orientationa,Orientationb,Orientationc,Orientationd,AccMagnitude,GyroMagnitude,Roll,Pitch,Yaw,Activity,time,hrm
-14.84570026,-2.525959015,1.818450928,1.304987907,-0.971549988,-0.290825844,-0.763366699,0.086669922,-0.638916016,-0.039672852,15.16845572,1.652719725,1.860155911,-0.184054521,0.184167284,Mers,7/26/2024 8:28,113
-10.7383213,-0.835601807,-0.047884941,0.282302856,1.926056862,1.752412796,-0.709228516,0.016052246,-0.704589844,0.016845703,10.77088983,2.61922518,3.000835654,0.000969201,0.006538843,Mers,7/26/2024 8:28,111
-9.990110397,-1.825634003,-1.104957581,-1.075949669,-1.914338112,-1.346534729,-0.854248047,0.17175293,-0.487854004,0.053100586,10.21548709,2.575949121,2.077845833,-0.244043774,0.546710859,Mers,7/26/2024 8:28,110
-7.72512722,-1.880702019,-1.332413673,-0.508146286,-0.673267365,-0.964093208,-0.822570801,0.163452148,-0.533447266,0.109924316,8.061634874,1.281006365,2.325892999,-0.152211343,0.418852621,Mers,7/26/2024 8:28,110
-9.856031418,-1.44973278,1.686765671,0.026632309,0.141683578,0.067112923,-0.658813477,0.132507324,-0.733581543,-0.101013184,10.10387346,0.159020944,-2.073929516,-0.328684296,-0.102522192,Mers,7/26/2024 8:28,111
-14.00890064,-1.523955345,1.491632462,-0.131031036,-1.912207603,-0.66048336,-0.78717041,0.191833496,-0.582214355,-0.067565918,14.17027538,2.027300007,2.010921353,-0.390539121,0.337858806,Mers,7/26/2024 8:28,111
-9.342459679,-1.905841827,1.046298027,0.351547241,1.08127594,0.015978813,-0.605285645,0.090332031,-0.789245605,-0.051269531,9.592107458,1.137100894,-1.868825973,-0.191449252,-0.25937936,Mers,7/26/2024 8:28,110
-8.221939087,-2.182380676,-0.64884758,-0.480448723,0.175773621,-0.222646713,-0.790222168,0.136108398,-0.595581055,0.048156738,8.531358095,0.557941664,2.32513349,-0.158410963,0.291082565,Mers,7/26/2024 8:28,109
-8.583474159,-1.745426178,-1.575431824,1.404061317,2.421419144,1.568116188,-0.676025391,0.01574707,-0.73614502,0.027893066,8.899692501,3.20837143,-2.196304642,0.019777134,-0.08549317,Mers,7/26/2024 8:28,109
-13.5922966,-1.535926819,1.187560081,0.068178177,-1.394473076,-1.185674667,-0.850524902,0.161376953,-0.496398926,0.06439209,13.7302548,1.831673508,2.105857407,-0.212170175,0.523052836,Mers,7/26/2024 8:28,109
-9.134157181,-1.412621498,1.465295792,-0.758490562,-2.013410568,-0.33343792,-0.79699707,0.105102539,-0.594177246,-0.026916504,9.358173896,2.177225504,1.863771988,-0.20086721,0.301192923,Mers,7/26/2024 8:28,110
-7.465348244,-1.897461891,-0.421391487,-0.843714714,-1.228286743,-0.877803802,-0.733886719,0.019348145,-0.670593262,0.106323242,7.714230799,1.72947459,2.639777983,0.114450304,0.078752832,Mers,7/26/2024 8:28,113
-12.17728043,-0.39146328,0.890669823,-0.292956352,0.322784424,-0.003195763,-0.642211914,0.080505371,-0.761047363,-0.043334961,12.21608345,0.43591676,-1.942908012,-0.170183227,-0.165536646,Mers,7/26/2024 8:28,111
-14.96541405,-2.372725487,0.035913467,0.564606667,-2.29358387,-0.331306458,-0.762084961,-0.032470703,-0.588806152,0.267333984,15.15238376,2.385177483,2.451960699,0.372888189,0.183881928,Mers,7/26/2024 8:28,111
-9.822511673,-2.18836689,0.203513145,0.347286224,1.367840767,0.450619698,-0.709289551,0.086364746,-0.69921875,0.022827148,10.06539134,1.481436532,3.094170384,-0.090717261,0.021229259,Mers,7/26/2024 8:28,112
-14.23994827,-1.868730545,2.128509521,0.034089088,-1.260245323,0.376049042,-0.682922363,-0.11529541,-0.696472168,0.187744141,14.51891295,1.315596147,3.107514225,0.432335734,-0.044731757,Mers,7/26/2024 8:28,110
-9.386753082,-1.501210213,-1.884293556,-0.423987389,0.227972984,-0.341959953,-0.702209473,-0.15246582,-0.599243164,0.353027344,9.690992092,0.590485899,2.497027246,0.690891288,0.044332439,Mers,7/26/2024 8:28,108
-9.052752495,-0.845178604,1.860350609,-0.490036011,0.276976585,0.044741631,-0.635437012,-0.150390625,-0.743774414,0.143005371,9.280493467,0.564670819,-1.300764195,0.415726888,-0.161836279,Mers,7/26/2024 8:28,110
-12.32812023,-1.715497017,-0.202315331,1.019488335,1.819526672,1.10577774,-0.663269043,-0.171020508,-0.694213867,0.221130371,12.44855051,2.360673248,-2.760985749,0.563192984,-0.072822125,Mers,7/26/2024 8:28,108
-7.334859848,-2.044710159,-1.143265724,0.653026581,-1.079145432,-0.642374039,-0.73034668,-0.109619141,-0.541809082,0.401245117,7.699874359,1.415500966,2.447577857,0.637161697,0.12849519,Mers,7/26/2024 8:28,108
-9.440624237,0.112530708,0.714690208,-1.098320961,0.488970757,0.204536438,-0.661132813,-0.129760742,-0.722961426,0.152832031,9.468306672,1.219523058,-1.75178705,0.403415007,-0.10013686,Mers,7/26/2024 8:28,109
-7.980116844,-2.456525803,1.174390793,-0.205601692,0.599761963,0.009587288,-0.562133789,-0.31060791,-0.708251953,0.293151855,8.431843073,0.63409651,-1.058268163,0.870198857,-0.277765273,Mers,7/26/2024 8:28,106
-10.98612881,-1.851970673,0.548288345,0.742511749,-1.267703056,-0.731858253,-0.64831543,-0.226318359,-0.595153809,0.417419434,11.15461527,1.641344339,2.533714982,0.91131299,-0.097321006,Mers,7/26/2024 8:28,107
-11.00767708,-1.732256889,2.031541824,0.45275116,-0.243952751,0.029828072,-0.575134277,-0.346496582,-0.626953125,0.395019531,11.32681909,0.51515655,-2.219375553,1.105930182,-0.216100871,Mers,7/26/2024 8:28,107
-11.04478836,-1.249811172,-0.161613464,0.569932938,1.734302521,1.230417252,-0.589477539,-0.331665039,-0.625976563,0.388122559,11.11645163,2.20148936,-3.054523786,1.069435705,-0.175014288,Mers,7/26/2024 8:28,107
-12.0288353,-0.008379936,0.295692444,-0.557149887,0.988595009,0.131031036,-0.562683105,-0.333190918,-0.696044922,0.296508789,12.03247202,1.142324481,-0.972625365,0.907113173,-0.242345915,Mers,7/26/2024 8:28,107
-10.48812008,-1.68556881,2.491242409,0.192818642,-0.066047668,0.034089088,-0.447875977,-0.532470703,-0.520263672,0.495178223,10.91091627,0.206647983,-0.775828493,1.445880467,-2.663730352,Mers,7/26/2024 8:28,107
-13.05597973,-2.23505497,1.612543106,1.048252106,-1.126018524,-0.199210167,-0.526489258,-0.415710449,-0.479492188,0.565795898,13.34370161,1.551268798,2.362748556,1.37209419,-1.23899014,Mers,7/26/2024 8:28,107
-8.354821205,-1.589797974,-0.33040905,-0.983268738,-1.687429428,-0.782992363,-0.627807617,-0.265625,-0.505249023,0.529174805,8.511149459,2.104117992,2.4201793,1.051669887,-0.197260142,Mers,7/26/2024 8:28,107
-7.994482994,-1.778945923,-1.857956886,-0.137422562,-0.177904129,-0.349416733,-0.625061035,-0.243225098,-0.557495117,0.489196777,8.398119476,0.415483926,2.489108363,1.015057127,-0.215003223,Mers,7/26/2024 8:28,107
-7.959765434,-1.727468491,1.55747509,-0.010652542,0.664744377,0.325980186,-0.478637695,-0.502563477,-0.562866211,0.448974609,8.292631778,0.740446923,-0.795651933,1.406397508,-0.397877675,Mers,7/26/2024 8:28,107
-7.304931641,-1.802887917,-1.193545341,-0.428249359,-1.102581978,-0.483644485,-0.592468262,-0.213378906,-0.555664063,0.54284668,7.61820068,1.277887522,2.519163515,1.027716648,-0.451405558,Mers,7/26/2024 8:28,112
-7.752660751,-1.926193237,-0.829615593,0.988595009,-0.938526154,-0.86715126,-0.513244629,-0.331481934,-0.496765137,0.616394043,8.031328106,1.615581239,2.384482223,1.261897079,-1.190618841,Mers,7/26/2024 8:28,113
